,text,labels
0,"Ghrelin was identified in the stomach as an endogenous ligand specific for the growth hormone secretagogue receptor ( GHS-R ) .
",
1,"GHS-R is found in various tissues , but its function is unknown .
",
2,"Here we show that GHS-R is found in hepatoma cells .
",
3,"Exposure of these cells to ghrelin caused up-regulation of several insulin-induced activities including tyrosine phosphorylation of insulin receptor substrate-1 ( IRS-1 ) , association of the adapter molecule growth factor receptor-bound protein 2 with IRS-1 , mitogen-activated protein kinase activity , and cell proliferation .
","Sustaining proliferative signaling--Receptors,Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling"
4,"Unlike insulin , ghrelin inhibited Akt kinase activity as well as up-regulated gluconeogenesis .
",
5,"These findings raise the possibility that ghrelin modulates insulin activities in humans .
",
6,"Leptin is thought to be involved in febrigenic signaling from the periphery to the brain .
",
7,"Zucker obese rats have a so-called fatty mutation in the leptin receptor gene and express a dysfunctional protein .
",
8,"Studies comparing the fever responses of fatty ( fa/fa ) rats and of their lean ( Fa/Fa and Fa/fa ) counterparts yield contradictory results .
",
9,"To resolve these contradictions , we evaluated the effect of fatty mutation on infectious and stress-associated fevers at thermoneutrality ( 29 degrees C ) and in a cool environment ( 20 degrees C ) .
",
10,"Zucker fa/fa and Fa/ ? rats were infused with Escherichia coli lipopolysaccharide ( LPS ; 10 microg/kg ) through a jugular catheter ( infectious fever ) or with saline through the catheter ( control ) or received a painful intramuscular injection of saline ( stress fever ) .
",
11,"At thermoneutrality , the colonic temperature ( T(c) ) responses of fatty rats to all stimuli tested were no different from the responses of lean rats .
",
12,"In a cool environment , T(c) responses of fatty rats to all stimuli were degrees C lower than those of lean rats .
",
13,"The observed attenuation of LPS-induced and stress-associated fevers in Zucker fatty rats in the cold agrees with the literature data showing that brown adipose tissue ( the major heat production effector ) is morphologically and functionally defective in these rats .
",
14,"The normal febrile responses of fatty Zucker rats to pyrogenic stimuli at thermoneutrality indicate that fatty mutation does not interrupt febrigenic signaling from the periphery to the brain .
",
15,"PURPOSE The epidermal growth factor receptor ( EGFR ) tyrosine kinase inhibitor ZD1839 ( Iressa ; AstraZeneca Pharmaceuticals , Alderley Park , United Kingdom ) is under development as an anticancer agent .
",
16,"We studied the pharmacodynamic effects of ZD1839 on EGFR in the skin , an EGFR-dependent tissue , in cancer patients participating in ZD1839 phase I clinical trials .
",
17,"PATIENTS AND METHODS We studied 104 pre- and/or on-ZD1839 therapy ( approximately at day 28 of therapy ) skin biopsies from 65 patients receiving escalating doses of daily oral ZD1839 .
",
18,"We measured ZD1839 effects on EGFR activation by immunohistochemistry using an antibody specific for the activated ( phosphorylated ) EGFR .
",
19,"Effects on receptor signaling ( activated mitogen-activated protein kinase [ MAPK] ) , proliferation , p27(KIP1) , and maturation were also assessed .
",
20,"RESULTS Histopathologically , the stratum corneum of the epidermis was thinner during therapy ( P <.001 ) .
",
21,"In hair follicles , prominent keratin plugs and microorganisms were found in dilated infundibula .
",
22,"ZD1839 suppressed EGFR phosphorylation in all EGFR-expressing cells ( P <.001 ) .
",Sustaining proliferative signaling--Receptors
23,"In addition , ZD1839 inhibited MAPK activation ( P <.001 ) and reduced keratinocyte proliferation index ( P <.001 ) .
",Sustaining proliferative signaling--Growth factors growth promoting signals--Downstream signaling
24,"Concomitantly , ZD1839 increased the expression of p27(KIP1) ( P <.001 ) and maturation markers ( P <.001 ) and increased apoptosis ( P <.001 ) .
","Evading growth suppressors--By deregulating cell cycle checkpoints--Cell cycle,Resisting cell death--Apoptosis"
25,"These effects were observed at all dose levels , before reaching dose-limiting toxicities .
",
26,"CONCLUSION ZD1839 inhibits EGFR activation and affects downstream receptor-dependent processes in vivo .
",Sustaining proliferative signaling--Receptors
27,"These effects were profound at doses well below the one producing unacceptable toxicity , a finding that strongly supports pharmacodynamic assessments to select optimal doses instead of a maximum-tolerated dose for definitive efficacy and safety trials .
",
28,"Adoptive transfer of immunity against hepatitis B surface antigen ( HBsAg ) was previously shown to facilitate suppression of experimental human hepatocellular carcinoma ( HCC ) expressing HBsAg in athymic mice .
",
29,"We have shown that oral tolerance induces antigen-specific immune suppression of HBsAg by feeding hepatitis B virus ( HBV ) antigens .
",
30,"In the present study we evaluated the effect of oral tolerance induction toward HBV or HCC antigens on the growth of experimental HCC-expressing HBsAg in mice .
",
31,"Tolerance induction was induced in mice by 5 oral feedings of 1 microg HBV antigens or HCC-extracted proteins ( 50 microg protein ) before vaccination with recombinant HBsAg .
",
32,"Splenocytes ( 2 x 10(6) ) from these mice were transferred to sublethally irradiated athymic BALB/c mice previously transplanted subcutaneously with 10(7) human hepatoma Hep3B cells .
",
33,"Adoptive transfer of splenocytes immunized toward HBsAg prevented tumor growth .
",
34,"At 4 weeks after splenocyte transplantation , tumor volume and serum alpha-fetoprotein ( AFP ) levels in athymic mice transplanted with splenocytes immunized to HBsAg were undetectable as compared with 1,048 +/- 738 mm(3) and 2,500 +/- 1,431 ng/ml in recipients of na�ve splenocytes ( p < 0.0001 ) .
",
